signup_date,city,business_service,customer_rating,last_service_use_date,phone,extra_cost_pct,weekday_pct,avg_use_of_service,avg_extra_cost,service_rating,use_of_service_in_first_30_days,recency,predicted_values,probs
16095,K,1,5,2014-06-17,iPhone,15.4,46.2,3.67,1.1,4.7,4,14,1,[  2.02032445e-12   1.00000000e+00]
16099,A,0,5,2014-05-05,Android,0,50,8.26,1,5,0,57,0,[  1.00000000e+00   8.02359860e-13]
16076,A,0,5,2014-01-07,iPhone,0,100,0.77,1,4.3,3,175,0,[ 1.  0.]
16080,K,1,4.9,2014-06-29,iPhone,20,80,2.36,1.14,4.6,9,2,1,[  1.32887545e-21   1.00000000e+00]
16097,W,0,4.9,2014-03-15,Android,11.8,82.4,3.13,1.19,4.4,14,108,0,[  1.00000000e+00   7.63609404e-38]
16079,W,1,5,2014-06-06,iPhone,0,100,10.56,1,3.5,2,25,1,[  9.62608269e-08   9.99999881e-01]
16098,W,0,5,2014-01-29,iPhone,0,100,2.04,1,5,2,153,0,[ 1.  0.]
16091,W,0,5,2014-02-01,Android,0,100,4.36,1,4.5,2,150,0,[ 1.  0.]
16083,W,1,4.9,2014-05-30,iPhone,0,100,4.28,1,5,1,32,0,[ 0.9281795   0.07182047]
16076,W,0,5,2014-01-10,iPhone,0,100,3.81,1,4,3,172,0,[ 1.  0.]
16099,K,0,5,2014-06-08,iPhone,50,50,3.04,1.38,4,0,23,1,[  1.65567187e-07   9.99999881e-01]
16081,K,1,3,2014-06-28,Android,0,50,10.86,1,5,1,3,1,[  1.20791894e-17   1.00000000e+00]
16082,K,1,4.8,2014-07-01,iPhone,0,95.2,2.38,1,3.9,0,0,1,[  3.95469659e-24   1.00000000e+00]
16098,K,1,4.8,2014-06-24,iPhone,30.8,80.8,6.83,1.21,4.6,6,7,1,[  3.42713997e-18   1.00000000e+00]
16072,K,0,5,2014-06-03,iPhone,33.3,66.7,12.08,1.17,5,0,28,1,[  1.38479299e-04   9.99861479e-01]
16091,K,1,5,2014-06-13,Android,0,100,7.74,1,5,0,18,1,[  6.12904164e-14   1.00000000e+00]
16089,A,0,4.7,2014-05-18,iPhone,9.1,36.4,2.1,1.02,4.5,4,44,0,[  9.99999762e-01   2.70389876e-07]
16086,A,0,5,2014-01-22,Android,0,100,1.66,1,4,1,160,0,[ 1.  0.]
16089,W,0,5,2014-03-05,iPhone,20,100,3.05,1.05,5,3,118,0,[ 1.  0.]
16097,A,0,5,2014-02-27,Android,0,100,11.25,1,4,1,124,0,[ 1.  0.]
16096,A,1,4.8,2014-02-07,iPhone,0,25,6.12,1,5,4,144,0,[ 1.  0.]
16095,W,0,5,2014-06-14,iPhone,0,40,11.86,1,4.9,1,17,1,[  4.27780415e-11   1.00000000e+00]
16075,W,0,5,2014-06-10,iPhone,100,100,10.01,2,4,1,21,1,[  1.09034393e-10   1.00000000e+00]
16087,K,0,5,2014-02-21,Android,0,100,14.16,1,5,2,130,0,[ 1.  0.]
16072,A,0,5,2014-04-26,iPhone,0,50,1.38,1,4,0,66,0,[  1.00000000e+00   1.89368724e-17]
16092,K,1,4.8,2014-06-30,iPhone,5.8,61.6,4.69,1.04,4.9,24,1,1,[  4.60573158e-23   1.00000000e+00]
16101,W,0,5,2014-02-01,iPhone,0,50,0.83,1,4,2,150,0,[ 1.  0.]
16088,W,0,5,2014-05-10,iPhone,50,0,3.8,1.88,4,0,52,0,[  1.00000000e+00   2.24133334e-09]
16095,W,0,5,2014-01-26,Android,100,0,5.72,1.5,4,1,156,0,[ 1.  0.]
16083,W,0,5,2014-03-17,iPhone,0,50,16.52,1,4.5,1,106,0,[  1.00000000e+00   5.63806832e-38]
16092,K,1,5,2014-06-18,iPhone,0,66.7,1.4,1,5,2,13,1,[  5.69522338e-15   1.00000000e+00]
16080,A,0,4.2,2014-04-19,Android,0,50,3,1,4,3,73,0,[  1.00000000e+00   2.16058465e-21]
16090,A,0,5,2014-01-22,iPhone,33.3,100,2.93,1.33,5,6,160,0,[ 1.  0.]
16088,W,0,5,2014-01-19,iPhone,100,0,3.61,1.25,5,1,163,0,[ 1.  0.]
16074,W,0,4.8,2014-01-28,iPhone,0,100,1.75,1,4.8,4,154,0,[ 1.  0.]
16074,W,0,4.7,2014-06-19,iPhone,0,71.4,10.54,1,4.4,2,12,1,[  2.26134546e-15   1.00000000e+00]
16074,W,0,5,2014-02-15,Android,100,0,3.25,1.25,5,0,136,0,[ 1.  0.]
16072,W,0,5,2014-05-02,Android,0,52.4,3.24,1,4.5,4,60,0,[  1.00000000e+00   4.76186041e-15]
16082,W,0,5,2014-06-01,iPhone,0,80,4.98,1,5,0,30,1,[ 0.02644678  0.97355324]
16087,A,1,4.8,2014-05-16,iPhone,22.2,22.2,3.15,1.56,4.4,6,46,0,[  9.99999881e-01   1.02001323e-07]
16080,W,0,5,2014-06-15,iPhone,50,50,4.94,1.5,3.5,2,16,1,[  3.67868973e-12   1.00000000e+00]
16074,W,0,5,2014-01-17,iPhone,0,100,36.01,1,4,1,165,0,[ 1.  0.]
16079,A,0,5,2014-04-29,Android,0,100,23.49,1,2.5,1,63,0,[  1.00000000e+00   7.53903577e-18]
16101,A,0,5,2014-03-10,Android,0,66.7,10.21,1,4.3,0,113,0,[ 1.  0.]
16075,A,0,5,2014-04-20,iPhone,0,40,2.6,1,5,0,72,0,[  1.00000000e+00   6.79332547e-20]
16095,A,0,4.5,2014-03-29,iPhone,100,0,6.05,1.25,5,1,94,0,[  1.00000000e+00   1.03485736e-30]
16100,K,0,4.8,2014-05-09,iPhone,25,75,4.81,1.06,4.5,0,53,0,[  1.00000000e+00   2.40291793e-12]
16099,A,0,4.8,2014-06-29,iPhone,5.4,54.1,2.21,1.03,4.8,3,2,1,[  2.35239129e-19   1.00000000e+00]
16090,W,0,5,2014-03-19,iPhone,0,75,10.37,1,5,1,104,0,[  1.00000000e+00   5.13634567e-36]
