,signup_date,city,business_service,customer_rating,last_service_use_date,phone,extra_cost_pct,weekday_pct,avg_use_of_service,avg_extra_cost,service_rating,use_of_service_in_first_30_days
0,16095,K,True,5.0,16238,iPhone,15.4,46.2,3.67,1.1,4.7,4
1,16099,A,False,5.0,16195,Android,0.0,50.0,8.26,1.0,5.0,0
2,16076,A,False,5.0,16077,iPhone,0.0,100.0,0.77,1.0,4.3,3
3,16080,K,True,4.9,16250,iPhone,20.0,80.0,2.36,1.14,4.6,9
4,16097,W,False,4.9,16144,Android,11.8,82.4,3.13,1.19,4.4,14
5,16079,W,True,5.0,16227,iPhone,0.0,100.0,10.56,1.0,3.5,2
6,16094,A,False,4.0,16095,Android,0.0,100.0,3.95,1.0,,1
7,16098,W,False,5.0,16099,iPhone,0.0,100.0,2.04,1.0,5.0,2
8,16091,W,False,5.0,16102,Android,0.0,100.0,4.36,1.0,4.5,2
9,16073,W,False,5.0,16075,Android,0.0,0.0,2.37,1.0,,1
10,16083,W,True,4.9,16220,iPhone,0.0,100.0,4.28,1.0,5.0,1
11,16076,W,False,5.0,16080,iPhone,0.0,100.0,3.81,1.0,4.0,3
12,16085,W,False,5.0,16141,iPhone,0.0,100.0,20.29,1.0,,1
13,16099,K,False,5.0,16229,iPhone,50.0,50.0,3.04,1.38,4.0,0
14,16097,A,False,5.0,16098,Android,0.0,100.0,26.01,1.0,,1
15,16085,W,True,5.0,16086,Android,0.0,100.0,13.2,1.0,,1
16,16081,K,True,3.0,16249,Android,0.0,50.0,10.86,1.0,5.0,1
17,16082,K,True,4.8,16252,iPhone,0.0,95.2,2.38,1.0,3.9,0
18,16098,K,True,4.8,16245,iPhone,30.8,80.8,6.83,1.21,4.6,6
19,16072,K,False,5.0,16224,iPhone,33.3,66.7,12.08,1.17,5.0,0
20,16101,W,False,3.0,16145,Android,0.0,50.0,2.53,1.0,,1
21,16079,A,False,5.0,16189,iPhone,0.0,100.0,3.31,1.0,,1
22,16094,W,False,5.0,16192,iPhone,0.0,100.0,11.47,1.0,,0
23,16091,K,True,5.0,16234,Android,0.0,100.0,7.74,1.0,5.0,0
24,16089,A,False,4.7,16208,iPhone,9.1,36.4,2.1,1.02,4.5,4
25,16072,W,True,5.0,16073,iPhone,0.0,100.0,14.48,1.0,,1
26,16086,A,False,5.0,16092,Android,0.0,100.0,1.66,1.0,4.0,1
27,16089,W,False,5.0,16134,iPhone,20.0,100.0,3.05,1.05,5.0,3
28,16089,W,False,5.0,16229,iPhone,100.0,0.0,5.97,1.5,,0
29,16097,A,False,5.0,16128,Android,0.0,100.0,11.25,1.0,4.0,1
30,16096,A,True,4.8,16108,iPhone,0.0,25.0,6.12,1.0,5.0,4
31,16095,W,False,5.0,16235,iPhone,0.0,40.0,11.86,1.0,4.9,1
32,16075,W,False,5.0,16231,iPhone,100.0,100.0,10.01,2.0,4.0,1
33,16097,W,True,5.0,16129,iPhone,0.0,100.0,4.48,1.0,,1
34,16086,A,False,5.0,16087,Android,100.0,100.0,4.12,1.25,,1
35,16087,K,False,5.0,16122,Android,0.0,100.0,14.16,1.0,5.0,2
36,16091,A,False,4.5,16246,iPhone,0.0,50.0,2.43,1.0,,2
37,16072,A,False,5.0,16186,iPhone,0.0,50.0,1.38,1.0,4.0,0
38,16092,K,True,4.8,16251,iPhone,5.8,61.6,4.69,1.04,4.9,24
39,16079,K,True,5.0,16244,iPhone,0.0,100.0,13.73,1.0,,1
40,16101,W,False,5.0,16102,iPhone,0.0,50.0,0.83,1.0,4.0,2
41,16088,W,False,5.0,16200,iPhone,50.0,0.0,3.8,1.88,4.0,0
42,16095,W,False,5.0,16096,Android,100.0,0.0,5.72,1.5,4.0,1
43,16083,W,False,5.0,16146,iPhone,0.0,50.0,16.52,1.0,4.5,1
44,16092,K,True,5.0,16239,iPhone,0.0,66.7,1.4,1.0,5.0,2
45,16080,A,False,4.2,16179,Android,0.0,50.0,3.0,1.0,4.0,3
